Garis Kemiskinan Menurut Kabupaten Kota (Rupiah/Kapita/Bulan),,
NAMA WILAYAH,TAHUN,GARIS KEMISKINAN (Rupiah/Kapita/Bulan)
PASAMAN BARAT,2023,596225
KOTA PADANG,2016,449658
KOTA PADANG,2017,482763
KOTA PADANG,2018,507042
KOTA PADANG,2019,534857
KOTA PADANG,2020,570654
KOTA PADANG,2021,602540
KOTA PADANG,2022,634581
KOTA PADANG,2023,698720
KOTA SOLOK,2016,385781
KOTA SOLOK,2017,413297
KOTA SOLOK,2018,414673
KOTA SOLOK,2019,440618
KOTA SOLOK,2020,450254
KOTA SOLOK,2021,464977
KOTA SOLOK,2022,491488
KOTA SOLOK,2023,538682
KOTA SAWAH LUNTO,2016,318721
KOTA SAWAH LUNTO,2017,337682
KOTA SAWAH LUNTO,2018,354665
KOTA SAWAH LUNTO,2019,374615
KOTA SAWAH LUNTO,2020,399688
KOTA SAWAH LUNTO,2021,412757
KOTA SAWAH LUNTO,2022,443301
KOTA SAWAH LUNTO,2023,487610
KOTA PADANG PANJANG,2016,420981
KOTA PADANG PANJANG,2017,424298
KOTA PADANG PANJANG,2018,438075
KOTA PADANG PANJANG,2019,450377
KOTA PADANG PANJANG,2020,491142
KOTA PADANG PANJANG,2021,516648
KOTA PADANG PANJANG,2022,543609
KOTA PADANG PANJANG,2023,599681
KOTA BUKITTINGGI,2016,420478
KOTA BUKITTINGGI,2017,441087
KOTA BUKITTINGGI,2018,459371
KOTA BUKITTINGGI,2019,475755
KOTA BUKITTINGGI,2020,519470
KOTA BUKITTINGGI,2021,540457
KOTA BUKITTINGGI,2022,570032
KOTA BUKITTINGGI,2023,619896
KOTA PAYAKUMBUH,2016,424233
KOTA PAYAKUMBUH,2017,441736
KOTA PAYAKUMBUH,2018,462243
KOTA PAYAKUMBUH,2019,482184
KOTA PAYAKUMBUH,2020,526490
KOTA PAYAKUMBUH,2021,543335
KOTA PAYAKUMBUH,2022,573234
KOTA PAYAKUMBUH,2023,616357
KOTA PARIAMAN,2016,392970
KOTA PARIAMAN,2017,412231
KOTA PARIAMAN,2018,431368
KOTA PARIAMAN,2019,446514
KOTA PARIAMAN,2020,480028
KOTA PARIAMAN,2021,495386
KOTA PARIAMAN,2022,522932
KOTA PARIAMAN,2023,576455
RIAU,2016,426001
RIAU,2017,456493
RIAU,2018,479944
RIAU,2019,500612
RIAU,2020,544057
RIAU,2021,565937
RIAU,2022,605912
RIAU,2023,658611
KUANTAN SINGINGI,2016,468199
KUANTAN SINGINGI,2017,497747
KUANTAN SINGINGI,2018,521591
KUANTAN SINGINGI,2019,545403
KUANTAN SINGINGI,2020,580453
KUANTAN SINGINGI,2021,599163
KUANTAN SINGINGI,2022,638678
KUANTAN SINGINGI,2023,693493
INDRAGIRI HULU,2016,419737
INDRAGIRI HULU,2017,432589
INDRAGIRI HULU,2018,457871
INDRAGIRI HULU,2019,474298
INDRAGIRI HULU,2020,522110
INDRAGIRI HULU,2021,549563
INDRAGIRI HULU,2022,584910
INDRAGIRI HULU,2023,626671
INDRAGIRI HILIR,2016,315988
INDRAGIRI HILIR,2017,368134
INDRAGIRI HILIR,2018,435202
INDRAGIRI HILIR,2019,450728
INDRAGIRI HILIR,2020,495305
INDRAGIRI HILIR,2021,518283
INDRAGIRI HILIR,2022,568879
INDRAGIRI HILIR,2023,597122
PELALAWAN,2016,473240
PELALAWAN,2017,487648
PELALAWAN,2018,515581
PELALAWAN,2019,534078
PELALAWAN,2020,585728
PELALAWAN,2021,618738
PELALAWAN,2022,655641
PELALAWAN,2023,689786
SIAK,2016,391039
SIAK,2017,414501
SIAK,2018,431814
SIAK,2019,443868
SIAK,2020,473128
SIAK,2021,489467
SIAK,2022,518768
SIAK,2023,558867
KAMPAR,2016,375716
KAMPAR,2017,398138
KAMPAR,2018,419306
KAMPAR,2019,434601
KAMPAR,2020,460991
KAMPAR,2021,477603
KAMPAR,2022,502670
KAMPAR,2023,547696
ROKAN HULU,2016,420884
ROKAN HULU,2017,446901
ROKAN HULU,2018,467343
ROKAN HULU,2019,488401
ROKAN HULU,2020,532643
ROKAN HULU,2021,551351
ROKAN HULU,2022,585225
ROKAN HULU,2023,647599
BENGKALIS,2016,455021
BENGKALIS,2017,496657
BENGKALIS,2018,508633
BENGKALIS,2019,533123
BENGKALIS,2020,581416
BENGKALIS,2021,604925
BENGKALIS,2022,648933
BENGKALIS,2023,713826
ROKAN HILIR,2016,345953
ROKAN HILIR,2017,367338
ROKAN HILIR,2018,371067
ROKAN HILIR,2019,388701
ROKAN HILIR,2020,418473
ROKAN HILIR,2021,437398
ROKAN HILIR,2022,465614
ROKAN HILIR,2023,511610
KEPULAUAN MERANTI,2016,427938
KEPULAUAN MERANTI,2017,445025
KEPULAUAN MERANTI,2018,462535
KEPULAUAN MERANTI,2019,483377
KEPULAUAN MERANTI,2020,520955
KEPULAUAN MERANTI,2021,542599
KEPULAUAN MERANTI,2022,568639
KEPULAUAN MERANTI,2023,623576
KOTA PEKANBARU,2016,435082
KOTA PEKANBARU,2017,473788
KOTA PEKANBARU,2018,499852
KOTA PEKANBARU,2019,516368
KOTA PEKANBARU,2020,589281
KOTA PEKANBARU,2021,613183
KOTA PEKANBARU,2022,655389
KOTA PEKANBARU,2023,712000
KOTA DUMAI,2016,369624
KOTA DUMAI,2017,403244
KOTA DUMAI,2018,418597
KOTA DUMAI,2019,439152
KOTA DUMAI,2020,484609
KOTA DUMAI,2021,509002
KOTA DUMAI,2022,543182
KOTA DUMAI,2023,601348
JAMBI,2016,371875
JAMBI,2017,389596
JAMBI,2018,426251
JAMBI,2019,448509
JAMBI,2020,483542
JAMBI,2021,506355
JAMBI,2022,545870
JAMBI,2023,599688
KERINCI,2016,285406
KERINCI,2017,309941
KERINCI,2018,333978
KERINCI,2019,356059
KERINCI,2020,385571
KERINCI,2021,396168
KERINCI,2022,443408
KERINCI,2023,485838
MERANGIN,2016,325181
MERANGIN,2017,347523
MERANGIN,2018,374250
MERANGIN,2019,406466
MERANGIN,2020,440156
MERANGIN,2021,453696
MERANGIN,2022,489880
MERANGIN,2023,537492
SAROLANGUN,2016,386460
SAROLANGUN,2017,393344
SAROLANGUN,2018,403411
SAROLANGUN,2019,424223
SAROLANGUN,2020,459092
SAROLANGUN,2021,472866
SAROLANGUN,2022,497951
SAROLANGUN,2023,545939
BATANG HARI,2016,341320
BATANG HARI,2017,365365
BATANG HARI,2018,394438
BATANG HARI,2019,420227
BATANG HARI,2020,450233
BATANG HARI,2021,462468
