Jumlah Penduduk Miskin Kabupaten Kota,,
NAMA WILAYAH,TAHUN,JUMLAH (RIBU JIWA)
Kuantan Singingi,2022,26.61
Kuantan Singingi,2023,26.1
Indragiri Hulu,2016,29.73
Indragiri Hulu,2017,29.42
Indragiri Hulu,2018,27.22
Indragiri Hulu,2019,26.66
Indragiri Hulu,2020,26.66
Indragiri Hulu,2021,27.35
Indragiri Hulu,2022,27.46
Indragiri Hulu,2023,27.4
Indragiri Hilir,2016,56.82
Indragiri Hilir,2017,55.4
Indragiri Hilir,2018,51.42
Indragiri Hilir,2019,48.29
Indragiri Hilir,2020,44.29
Indragiri Hilir,2021,44.61
Indragiri Hilir,2022,43.22
Indragiri Hilir,2023,40.86
Pelalawan,2016,45.35
Pelalawan,2017,44.4
Pelalawan,2018,44.29
Pelalawan,2019,45.98
Pelalawan,2020,45.88
Pelalawan,2021,49.3
Pelalawan,2022,47.84
Pelalawan,2023,45.3
Siak,2016,24.86
Siak,2017,26.83
Siak,2018,25.81
Siak,2019,24.49
Siak,2020,25.38
Siak,2021,25.77
Siak,2022,25.71
Siak,2023,26.99
Kampar,2016,67.68
Kampar,2017,66.33
Kampar,2018,69.32
Kampar,2019,66.81
Kampar,2020,65.3
Kampar,2021,68.74
Kampar,2022,63.55
Kampar,2023,63.84
Rokan Hulu,2016,67.42
Rokan Hulu,2017,69.24
Rokan Hulu,2018,72.28
Rokan Hulu,2019,72.21
Rokan Hulu,2020,73.35
Rokan Hulu,2021,74.73
Rokan Hulu,2022,73.81
Rokan Hulu,2023,74.38
Bengkalis,2016,37.49
Bengkalis,2017,38.19
Bengkalis,2018,35.11
Bengkalis,2019,35.83
Bengkalis,2020,36.96
Bengkalis,2021,37.66
Bengkalis,2022,36.03
Bengkalis,2023,36.1
Rokan Hilir,2016,52.4
Rokan Hilir,2017,53.19
Rokan Hilir,2018,48.92
Rokan Hilir,2019,49.8
Rokan Hilir,2020,48.85
Rokan Hilir,2021,51.97
Rokan Hilir,2022,49.59
Rokan Hilir,2023,53.04
Kepulauan Meranti,2016,56.18
Kepulauan Meranti,2017,53.05
Kepulauan Meranti,2018,51.17
Kepulauan Meranti,2019,49.89
Kepulauan Meranti,2020,47.1
Kepulauan Meranti,2021,48.5
Kepulauan Meranti,2022,45.25
Kepulauan Meranti,2023,43.82
Kota Pekanbaru,2016,32.49
Kota Pekanbaru,2017,33.09
Kota Pekanbaru,2018,31.62
Kota Pekanbaru,2019,28.6
Kota Pekanbaru,2020,30.4
Kota Pekanbaru,2021,32.73
Kota Pekanbaru,2022,35.96
Kota Pekanbaru,2023,37.67
Kota Dumai,2016,13.76
Kota Dumai,2017,13.53
Kota Dumai,2018,11.19
Kota Dumai,2019,10.95
Kota Dumai,2020,9.88
Kota Dumai,2021,10.57
Kota Dumai,2022,10
Kota Dumai,2023,10.15
JAMBI,2016,289.81
JAMBI,2017,286.55
JAMBI,2018,281.69
JAMBI,2019,274.32
JAMBI,2020,277.8
JAMBI,2021,293.86
JAMBI,2022,279.37
JAMBI,2023,280.68
Kerinci,2016,17.62
Kerinci,2017,17.62
Kerinci,2018,16.79
Kerinci,2019,17
Kerinci,2020,17.48
Kerinci,2021,18.45
Kerinci,2022,18.2
Kerinci,2023,18.21
Merangin,2016,36.89
Merangin,2017,35.48
Merangin,2018,33.95
Merangin,2019,32.88
Merangin,2020,33.92
Merangin,2021,35.44
Merangin,2022,34.14
Merangin,2023,35.19
Sarolangun,2016,26.37
Sarolangun,2017,25.61
Sarolangun,2018,25.7
Sarolangun,2019,25.39
Sarolangun,2020,25.79
Sarolangun,2021,27.06
Sarolangun,2022,26.23
Sarolangun,2023,26.77
Batang Hari,2016,28.39
Batang Hari,2017,27.49
Batang Hari,2018,27.55
Batang Hari,2019,26.53
Batang Hari,2020,26.54
Batang Hari,2021,27.24
Batang Hari,2022,26.24
Batang Hari,2023,25.88
Muaro Jambi,2016,17.52
Muaro Jambi,2017,18.28
Muaro Jambi,2018,17.38
Muaro Jambi,2019,16.86
Muaro Jambi,2020,17.3
Muaro Jambi,2021,20.49
Muaro Jambi,2022,20.64
Muaro Jambi,2023,20.83
Tanjung Jabung Timur,2016,27.42
Tanjung Jabung Timur,2017,27.22
Tanjung Jabung Timur,2018,26.99
Tanjung Jabung Timur,2019,25.35
Tanjung Jabung Timur,2020,24.23
Tanjung Jabung Timur,2021,24.42
Tanjung Jabung Timur,2022,23.42
Tanjung Jabung Timur,2023,23.33
Tanjung Jabung Barat,2016,37.24
Tanjung Jabung Barat,2017,36.33
Tanjung Jabung Barat,2018,36.28
Tanjung Jabung Barat,2019,35.12
Tanjung Jabung Barat,2020,34.79
Tanjung Jabung Barat,2021,36.1
Tanjung Jabung Barat,2022,33.95
Tanjung Jabung Barat,2023,33.61
Tebo,2016,23.04
Tebo,2017,23.18
Tebo,2018,22.86
Tebo,2019,22.83
Tebo,2020,22.47
Tebo,2021,23.77
Tebo,2022,22.81
Tebo,2023,23.47
Bungo,2016,20.96
Bungo,2017,20.81
Bungo,2018,21.11
Bungo,2019,20.87
Bungo,2020,22.07
Bungo,2021,23.64
Bungo,2022,20.69
Bungo,2023,20.65
Kota Jambi,2016,51.61
Kota Jambi,2017,52.08
Kota Jambi,2018,50.61
Kota Jambi,2019,48.95
Kota Jambi,2020,50.44
Kota Jambi,2021,54.23
Kota Jambi,2022,50.4
Kota Jambi,2023,50.09
Kota Sungai Penuh,2016,2.75
Kota Sungai Penuh,2017,2.46
Kota Sungai Penuh,2018,2.48
Kota Sungai Penuh,2019,2.55
Kota Sungai Penuh,2020,2.78
Kota Sungai Penuh,2021,3.03
Kota Sungai Penuh,2022,2.64
Kota Sungai Penuh,2023,2.66
SUMATERA SELATAN,2016,-
SUMATERA SELATAN,2017,1086.92
SUMATERA SELATAN,2018,1068.27
SUMATERA SELATAN,2019,1073.74
SUMATERA SELATAN,2020,1081.59
SUMATERA SELATAN,2021,1113.76
SUMATERA SELATAN,2022,1044.69
SUMATERA SELATAN,2023,1045.68
Ogan Komering Ulu,2016,46.97
Ogan Komering Ulu,2017,46.34
Ogan Komering Ulu,2018,45.71
Ogan Komering Ulu,2019,46.84
Ogan Komering Ulu,2020,47.3
Ogan Komering Ulu,2021,47.5
Ogan Komering Ulu,2022,44.2
Ogan Komering Ulu,2023,44.11
Ogan Komering Ilir,2016,127.54
Ogan Komering Ilir,2017,127.06
Ogan Komering Ilir,2018,124.86
Ogan Komering Ilir,2019,124.14
Ogan Komering Ilir,2020,123.34
Ogan Komering Ilir,2021,124.78
Ogan Komering Ilir,2022,113.79
Ogan Komering Ilir,2023,114.48
Muara Enim,2016,82.35
Muara Enim,2017,81.3
Muara Enim,2018,78.58
Muara Enim,2019,78.75
Muara Enim,2020,79.27
Muara Enim,2021,80.4
Muara Enim,2022,73.53
Muara Enim,2023,73.24
Lahat,2016,67.83
Lahat,2017,67.33
Lahat,2018,65.31
Lahat,2019,65.03
Lahat,2020,65.75
Lahat,2021,68.4
Lahat,2022,65.39
Lahat,2023,63.36
Musi Rawas,2016,55.5
Musi Rawas,2017,55.96
Musi Rawas,2018,54.75
Musi Rawas,2019,53.82
Musi Rawas,2020,54.95
Musi Rawas,2021,57.46
Musi Rawas,2022,55.8
Musi Rawas,2023,59.75
Musi Banyuasin,2016,106.78
Musi Banyuasin,2017,105.08
Musi Banyuasin,2018,105.15
Musi Banyuasin,2019,105.83
Musi Banyuasin,2020,105.38
Musi Banyuasin,2021,105.23
