PERSENTASE PENDUDUK P0 MISKIN KABUPATEN KOTA,,
NAMA WILAYAH,TAHUN,PENDUDUK MISKIN (Persen)
Labuhan Batu,2019,8.44
Labuhan Batu,2020,8.44
Labuhan Batu,2021,8.74
Labuhan Batu,2022,8.26
Labuhan Batu,2023,7.99
Labuhan Batu,2024,7.84
Asahan,2004,12.91
Asahan,2005,13.29
Asahan,2006,13.45
Asahan,2007,13.77
Asahan,2008,12.89
Asahan,2009,12.09
Asahan,2010,11.42
Asahan,2011,10.85
Asahan,2012,10.52
Asahan,2013,11.6
Asahan,2014,10.98
Asahan,2015,12.09
Asahan,2016,11.86
Asahan,2017,11.67
Asahan,2018,10.25
Asahan,2019,9.68
Asahan,2020,9.04
Asahan,2021,9.35
Asahan,2022,8.64
Asahan,2023,8.21
Asahan,2024,8.12
Simalungun,2004,17.94
Simalungun,2005,17.09
Simalungun,2006,17.2
Simalungun,2007,14.84
Simalungun,2008,14.75
Simalungun,2009,12.67
Simalungun,2010,10.73
Simalungun,2011,10.21
Simalungun,2012,9.97
Simalungun,2013,10.45
Simalungun,2014,10.2
Simalungun,2015,10.96
Simalungun,2016,10.81
Simalungun,2017,10.65
Simalungun,2018,9.31
Simalungun,2019,8.81
Simalungun,2020,8.46
Simalungun,2021,8.81
Simalungun,2022,8.26
Simalungun,2023,7.87
Simalungun,2024,7.72
Dairi,2004,21.16
Dairi,2005,19.54
Dairi,2006,17.91
Dairi,2007,15.82
Dairi,2008,11.07
Dairi,2009,10.03
Dairi,2010,9.97
Dairi,2011,9.48
Dairi,2012,9.28
Dairi,2013,8.68
Dairi,2014,8.4
Dairi,2015,9.09
Dairi,2016,8.9
Dairi,2017,8.87
Dairi,2018,8.2
Dairi,2019,7.7
Dairi,2020,8.04
Dairi,2021,8.31
Dairi,2022,7.88
Dairi,2023,7.47
Dairi,2024,7.1
Karo,2004,20
Karo,2005,17.68
Karo,2006,16.71
Karo,2007,14.47
Karo,2008,12.86
Karo,2009,11.42
Karo,2010,11.02
Karo,2011,10.49
Karo,2012,9.93
Karo,2013,9.79
Karo,2014,9.2
Karo,2015,9.68
Karo,2016,9.81
Karo,2017,9.97
Karo,2018,8.67
Karo,2019,8.23
Karo,2020,8.7
Karo,2021,8.79
Karo,2022,8.17
Karo,2023,7.98
Karo,2024,7.37
Deli Serdang,2004,7.91
Deli Serdang,2005,6.3
Deli Serdang,2006,6.7
Deli Serdang,2007,5.67
Deli Serdang,2008,5.16
Deli Serdang,2009,5.17
Deli Serdang,2010,5.34
Deli Serdang,2011,5.1
Deli Serdang,2012,4.78
Deli Serdang,2013,4.71
Deli Serdang,2014,4.56
Deli Serdang,2015,4.74
Deli Serdang,2016,4.86
Deli Serdang,2017,4.62
Deli Serdang,2018,4.13
Deli Serdang,2019,3.89
Deli Serdang,2020,3.88
Deli Serdang,2021,4.01
Deli Serdang,2022,3.62
Deli Serdang,2023,3.44
Deli Serdang,2024,3.44
Langkat,2004,19.89
Langkat,2005,20.98
Langkat,2006,20.57
Langkat,2007,18.23
Langkat,2008,14.81
Langkat,2009,12.75
Langkat,2010,10.84
Langkat,2011,10.31
Langkat,2012,10.02
Langkat,2013,10.44
Langkat,2014,9.99
Langkat,2015,11.3
Langkat,2016,11.36
Langkat,2017,11.15
Langkat,2018,10.2
Langkat,2019,9.91
Langkat,2020,9.73
Langkat,2021,10.12
Langkat,2022,9.49
Langkat,2023,9.23
Langkat,2024,9.04
Nias Selatan,2004,32.15
Nias Selatan,2005,34.84
Nias Selatan,2006,35.89
Nias Selatan,2007,33.84
Nias Selatan,2008,24.36
Nias Selatan,2009,22.19
Nias Selatan,2010,20.72
Nias Selatan,2011,19.71
Nias Selatan,2012,19.05
Nias Selatan,2013,18.83
Nias Selatan,2014,17.81
Nias Selatan,2015,19.05
Nias Selatan,2016,18.6
Nias Selatan,2017,18.48
Nias Selatan,2018,16.65
Nias Selatan,2019,16.45
Nias Selatan,2020,16.74
Nias Selatan,2021,16.92
Nias Selatan,2022,16.48
Nias Selatan,2023,16.39
Nias Selatan,2024,16.32
Humbang Hasundutan,2004,20.11
Humbang Hasundutan,2005,20.42
Humbang Hasundutan,2006,18.36
Humbang Hasundutan,2007,18.84
Humbang Hasundutan,2008,12.99
Humbang Hasundutan,2009,11.31
Humbang Hasundutan,2010,10.6
Humbang Hasundutan,2011,10.09
Humbang Hasundutan,2012,9.73
Humbang Hasundutan,2013,10
Humbang Hasundutan,2014,9.44
Humbang Hasundutan,2015,9.85
Humbang Hasundutan,2016,9.78
Humbang Hasundutan,2017,9.85
Humbang Hasundutan,2018,9
Humbang Hasundutan,2019,8.75
Humbang Hasundutan,2020,9.36
Humbang Hasundutan,2021,9.65
Humbang Hasundutan,2022,8.86
Humbang Hasundutan,2023,8.69
Humbang Hasundutan,2024,8.44
Pakpak Bharat,2004,22.62
Pakpak Bharat,2005,25.18
Pakpak Bharat,2006,26.97
Pakpak Bharat,2007,22.42
Pakpak Bharat,2008,15.02
Pakpak Bharat,2009,13.99
Pakpak Bharat,2010,13.78
Pakpak Bharat,2011,13.16
Pakpak Bharat,2012,12.4
Pakpak Bharat,2013,11.28
Pakpak Bharat,2014,10.55
Pakpak Bharat,2015,11.26
Pakpak Bharat,2016,10.72
Pakpak Bharat,2017,10.53
Pakpak Bharat,2018,9.74
Pakpak Bharat,2019,9.27
Pakpak Bharat,2020,9.28
Pakpak Bharat,2021,9.35
Pakpak Bharat,2022,8.66
Pakpak Bharat,2023,7.54
Pakpak Bharat,2024,6.87
Samosir,2004,-
Samosir,2005,23.13
Samosir,2006,23.87
Samosir,2007,27.76
Samosir,2008,18.76
Samosir,2009,17.55
Samosir,2010,16.5
Samosir,2011,15.67
Samosir,2012,15.17
Samosir,2013,14.01
Samosir,2014,13.2
Samosir,2015,14.11
Samosir,2016,14.4
Samosir,2017,14.72
Samosir,2018,13.38
Samosir,2019,12.52
Samosir,2020,12.48
Samosir,2021,12.68
Samosir,2022,11.77
Samosir,2023,11.66
Samosir,2024,11.63
Serdang Bedagai,2004,-
Serdang Bedagai,2005,10.53
Serdang Bedagai,2006,12.05
Serdang Bedagai,2007,11.84
Serdang Bedagai,2008,10.61
Serdang Bedagai,2009,9.51
Serdang Bedagai,2010,10.59
Serdang Bedagai,2011,10.07
Serdang Bedagai,2012,9.89
Serdang Bedagai,2013,9.35
Serdang Bedagai,2014,8.98
Serdang Bedagai,2015,9.59
Serdang Bedagai,2016,9.53
Serdang Bedagai,2017,9.3
